ID,pot_type,strat,rep,config,rowcol,row,col,seed,density,taxa,harvest,potnumber
6_high_even_Cc.Hm_1_early,Cc.Hm,6,1,even,a.2,a,2,1,high,C.canadensis,early,5
6_high_even_Cc.Hm_1_early,Cc.Hm,6,1,even,a.4,a,4,1,high,C.canadensis,early,5
6_high_even_Cc.Hm_1_early,Cc.Hm,6,1,even,b.1,b,1,0,high,H.matronalis,early,5
6_high_even_Cc.Hm_1_early,Cc.Hm,6,1,even,b.3,b,3,1,high,C.canadensis,early,5
6_high_even_Cc.Hm_1_early,Cc.Hm,6,1,even,b.5,b,5,1,high,C.canadensis,early,5
6_high_even_Cc.Hm_1_early,Cc.Hm,6,1,even,c.2,c,2,0,high,H.matronalis,early,5
6_high_even_Cc.Hm_1_early,Cc.Hm,6,1,even,c.4,c,4,0,high,H.matronalis,early,5
6_high_even_Cc.Hm_1_early,Cc.Hm,6,1,even,c.6,c,6,0,high,H.matronalis,early,5
6_high_even_Cc.Hm_1_early,Cc.Hm,6,1,even,d.1,d,1,1,high,C.canadensis,early,5
6_high_even_Cc.Hm_1_early,Cc.Hm,6,1,even,d.3,d,3,1,high,C.canadensis,early,5
6_high_even_Cc.Hm_1_early,Cc.Hm,6,1,even,d.5,d,5,0,high,H.matronalis,early,5
6_high_even_Cc.Hm_1_early,Cc.Hm,6,1,even,e.2,e,2,0,high,H.matronalis,early,5
6_high_even_Cc.Hm_1_early,Cc.Hm,6,1,even,e.4,e,4,1,high,C.canadensis,early,5
6_high_even_Cc.Hm_1_early,Cc.Hm,6,1,even,e.6,e,6,1,high,C.canadensis,early,5
6_high_even_Cc.Hm_1_early,Cc.Hm,6,1,even,f.3,f,3,0,high,H.matronalis,early,5
6_high_even_Cc.Hm_1_early,Cc.Hm,6,1,even,f.5,f,5,0,high,H.matronalis,early,5
6_high_monoA_Cc.Hm_2_early,Cc.Hm,6,2,monoA,a.2,a,2,1,high,C.canadensis,early,6
6_high_monoA_Cc.Hm_2_early,Cc.Hm,6,2,monoA,a.4,a,4,1,high,C.canadensis,early,6
6_high_monoA_Cc.Hm_2_early,Cc.Hm,6,2,monoA,b.1,b,1,1,high,C.canadensis,early,6
6_high_monoA_Cc.Hm_2_early,Cc.Hm,6,2,monoA,b.3,b,3,1,high,C.canadensis,early,6
6_high_monoA_Cc.Hm_2_early,Cc.Hm,6,2,monoA,b.5,b,5,1,high,C.canadensis,early,6
6_high_monoA_Cc.Hm_2_early,Cc.Hm,6,2,monoA,c.2,c,2,1,high,C.canadensis,early,6
6_high_monoA_Cc.Hm_2_early,Cc.Hm,6,2,monoA,c.4,c,4,1,high,C.canadensis,early,6
6_high_monoA_Cc.Hm_2_early,Cc.Hm,6,2,monoA,c.6,c,6,1,high,C.canadensis,early,6
6_high_monoA_Cc.Hm_2_early,Cc.Hm,6,2,monoA,d.1,d,1,1,high,C.canadensis,early,6
6_high_monoA_Cc.Hm_2_early,Cc.Hm,6,2,monoA,d.3,d,3,1,high,C.canadensis,early,6
6_high_monoA_Cc.Hm_2_early,Cc.Hm,6,2,monoA,d.5,d,5,1,high,C.canadensis,early,6
6_high_monoA_Cc.Hm_2_early,Cc.Hm,6,2,monoA,e.2,e,2,1,high,C.canadensis,early,6
6_high_monoA_Cc.Hm_2_early,Cc.Hm,6,2,monoA,e.4,e,4,1,high,C.canadensis,early,6
6_high_monoA_Cc.Hm_2_early,Cc.Hm,6,2,monoA,e.6,e,6,1,high,C.canadensis,early,6
6_high_monoA_Cc.Hm_2_early,Cc.Hm,6,2,monoA,f.3,f,3,1,high,C.canadensis,early,6
6_high_monoA_Cc.Hm_2_early,Cc.Hm,6,2,monoA,f.5,f,5,1,high,C.canadensis,early,6
6_high_monoB_Cc.Hm_2_early,Cc.Hm,6,2,monoB,a.2,a,2,0,high,H.matronalis,early,7
6_high_monoB_Cc.Hm_2_early,Cc.Hm,6,2,monoB,a.4,a,4,0,high,H.matronalis,early,7
6_high_monoB_Cc.Hm_2_early,Cc.Hm,6,2,monoB,b.1,b,1,0,high,H.matronalis,early,7
